AWB,ConsigneePostal,KiloWgt,PieceQty,CommitDate,DestLocCd,CourierRoute
1.07E+11,40460,0.3,1,19/9/2017,XKL,925928
1.21E+11,81560,1.2,1,19/9/2017,JHB,
7.90E+11,70300,0.3,1,19/9/2017,RDN,
7.90E+11,60000,3.4,1,19/9/2017,XKL,979974
8.12E+11,50450,0.5,1,19/9/2013,KUL,827
6.72E+11,40675,0.5,1,19/9/2013,XKL,911926
7.76E+11,26080,0.4,1,19/9/2017,KUA,
7.76E+11,56100,2.5,1,19/9/2013,KUL,890
7.90E+11,47200,1.4,1,19/9/2013,XKL,KULBK+
7.90E+11,41050,7,1,19/9/2013,XKL,KULBK+
8.10E+11,47200,4.9,1,19/9/2013,XKL,RAWANG
7.76E+11,64000,47,1,19/9/2013,MKZ,
7.90E+11,47301,4.1,1,19/9/2017,XKL,955956
7.90E+11,47610,0.9,1,19/9/2017,XKL,935934
1.05E+11,40170,1,1,19/9/2013,XKL,SZBAAA
7.76E+11,50480,2.3,1,19/9/2013,KUL,859
7.76E+11,81000,25.5,2,19/9/2017,JHB,
1.21E+11,81560,2.1,1,19/9/2017,JHB,
1.21E+11,81560,1.3,1,19/9/2017,JHB,
7.76E+11,47100,20.6,8,19/9/2012,XKL,KULAAA
1.14E+11,50490,0.3,1,19/9/2017,KUL,857
1.12E+11,47100,1.7,1,19/9/2017,XKL,967938
7.90E+11,40460,1.7,1,19/9/2013,XKL,925928
7.90E+11,43300,1.6,1,19/9/2013,KUL,879
7.90E+11,56000,1.8,1,19/9/2013,KUL,893
7.76E+11,43300,0.5,1,19/9/2013,KUL,879
7.76E+11,40170,9.5,1,19/9/2013,XKL,917912
7.76E+11,47160,5,1,19/9/2013,XKL,963936
8.14E+11,57000,0.5,1,19/9/2013,KUL,879
1.11E+11,40460,2,1,19/9/2013,XKL,929928
7.76E+11,43000,2,1,19/9/2017,RDN,
7.90E+11,52100,1.1,1,19/9/2013,KUL,840
7.90E+11,47200,2.7,1,19/9/2013,XKL,KULBK+
8.14E+11,53300,2,1,19/9/2017,KUL,
8.14E+11,25000,0.6,1,19/9/2017,KUA,
8.14E+11,81700,1,1,19/9/2017,JHB,
7.76E+11,47200,22,1,19/9/2017,KUL,XKLA
1.19E+11,81200,0.8,1,19/9/2013,JHB,
7.90E+11,93200,0.5,1,19/9/2017,KCH,
7.90E+11,47200,1.4,1,19/9/2013,XKL,KULBK+
7.90E+11,47200,1.4,1,19/9/2013,XKL,KULBK+
1.03E+11,40460,0.9,1,19/9/2013,XKL,929928
7.76E+11,81560,10.4,1,19/9/2018,JHB,
7.76E+11,50490,0.2,1,19/9/2013,KUL,857
1.21E+11,81560,2.2,1,19/9/2017,JHB,
1.21E+11,81560,1.6,1,19/9/2017,JHB,
7.90E+11,43200,0.3,1,19/9/2013,KUL,895
7.76E+11,64000,0.9,1,19/9/2013,MKZ,
7.90E+11,56100,0.5,1,19/9/2013,KUL,893
4.80E+11,47810,61.7,4,19/9/2017,XKL,980982
1.12E+11,28400,0.7,1,19/9/2017,KBR,
7.90E+11,63000,0.9,1,19/9/2013,XKL,969938
1.21E+11,42920,63,4,19/9/2017,XKL,997918
7.76E+11,47301,8.1,1,19/9/2013,XKL,955956
8.15E+11,57000,1,1,19/9/2017,KUL,872+
7.76E+11,64000,3.6,1,19/9/2013,MKZ,
7.90E+11,93200,0.4,1,19/9/2017,KCH,
4.55E+11,62200,12.2,1,19/9/2013,XKL,KAAPR+
7.90E+11,42610,0.5,1,19/9/2013,XKL,999916
7.90E+11,50480,0.7,1,19/9/2013,KUL,859
